Query	KO_ID	KO_name,KO_definition	Hyperlink	Paths
LOC127933209	K20212	PROX2; prospero homeobox 2	http://www.genome.jp/dbget-bin/www_bget?ko:K20212	_
LOC127933211	K27409	spectrin beta, erythrocytic	http://www.genome.jp/dbget-bin/www_bget?ko:K27409	_
LOC127933212	K20878	NEK9, NERCC1; serine/threonine-protein kinase Nek9 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K20878	_
LOC127933214	K05190	GABRR; gamma-aminobutyric acid receptor subunit rho	http://www.genome.jp/dbget-bin/www_bget?ko:K05190	ko04080;ko04723;ko04727;ko05032;ko05033
LOC127933215	K16670	MEIS2; homeobox protein Meis2	http://www.genome.jp/dbget-bin/www_bget?ko:K16670	_
LOC127933217	K12884	HNRNPC; heterogeneous nuclear ribonucleoprotein C1/C2	http://www.genome.jp/dbget-bin/www_bget?ko:K12884	ko03040
LOC127933225	K15619	SPINT1; Kunitz-type protease inhibitor 1	http://www.genome.jp/dbget-bin/www_bget?ko:K15619	ko05202;ko05215
LOC127933226	K24778	ZFYVE19, ANCHR; abscission/NoCut checkpoint regulator	http://www.genome.jp/dbget-bin/www_bget?ko:K24778	_
LOC127933228	K11660	MTA; metastasis-associated protein MTA	http://www.genome.jp/dbget-bin/www_bget?ko:K11660	_
LOC127933230	K24795	TBC1D12; TBC1 domain family member 12	http://www.genome.jp/dbget-bin/www_bget?ko:K24795	_
LOC127933233	K25696	PNOC; prepronociceptin	http://www.genome.jp/dbget-bin/www_bget?ko:K25696	ko04080
LOC127933235	K24014	UNC79; protein unc-79	http://www.genome.jp/dbget-bin/www_bget?ko:K24014	_
LOC127933240	K23284	C1QL; C1q-related factor	http://www.genome.jp/dbget-bin/www_bget?ko:K23284	_
LOC127933241	K11979	UBR7; E3 ubiquitin-protein ligase UBR7 [EC:2.3.2.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K11979	_
LOC127933247	K10307	FBXO30; F-box protein 30	http://www.genome.jp/dbget-bin/www_bget?ko:K10307	_
LOC127933250	K14290	XPO1, CRM1; exportin-1	http://www.genome.jp/dbget-bin/www_bget?ko:K14290	ko03008;ko03013;ko03250;ko04013;ko05164;ko05166
LOC127933253	K20826	RPAP1; RNA polymerase II-associated protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K20826	_
LOC127933255	K11687	ADPRHL2; poly(ADP-ribose) glycohydrolase ARH3 [EC:3.2.1.143]	http://www.genome.jp/dbget-bin/www_bget?ko:K11687	ko03410
LOC127933256	K16585	HAUS2, AUG2; HAUS augmin-like complex subunit 2	http://www.genome.jp/dbget-bin/www_bget?ko:K16585	_
LOC127933261	K05849	SLC8A, NCX; solute carrier family 8 (sodium/calcium exchanger)	http://www.genome.jp/dbget-bin/www_bget?ko:K05849	ko04020;ko04022;ko04260;ko04261;ko04371;ko04740;ko04961;ko04974;ko04978;ko05410;ko05412;ko05414
LOC127933262	K23324	EDARADD; ectodysplasin-A receptor-associated adapter protein	http://www.genome.jp/dbget-bin/www_bget?ko:K23324	ko04064
LOC127933263	K23468	CASQ1; calsequestrin 1	http://www.genome.jp/dbget-bin/www_bget?ko:K23468	ko04020
LOC127933264	K08554	NR3B3, ESRRG; estrogen-related receptor gamma	http://www.genome.jp/dbget-bin/www_bget?ko:K08554	_
LOC127933265	K12488	ASAP; Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein	http://www.genome.jp/dbget-bin/www_bget?ko:K12488	ko04144;ko04666
LOC127933266	K20058	ITGB1BP1; integrin beta-1-binding protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K20058	_
LOC127933267	K10358	MYO6; myosin VI	http://www.genome.jp/dbget-bin/www_bget?ko:K10358	ko04814;ko05130;ko05132
LOC127933269	K18405	TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7	http://www.genome.jp/dbget-bin/www_bget?ko:K18405	_
LOC127933273	K18753	ZFP36L; butyrate response factor	http://www.genome.jp/dbget-bin/www_bget?ko:K18753	ko04218
LOC127933274	K22383	IRF2BP; interferon regulatory factor 2-binding protein	http://www.genome.jp/dbget-bin/www_bget?ko:K22383	_
LOC127933277	K04494	CHD8, HELSNF1; chromodomain helicase DNA binding protein 8 [EC:5.6.2.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K04494	ko04310
LOC127933278	K11964	PELI; pellino [EC:2.3.2.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K11964	_
LOC127933279	K25129	AHCTF1, ELYS; protein ELYS	http://www.genome.jp/dbget-bin/www_bget?ko:K25129	ko03013
LOC127933280	K06835	ADAM12; disintegrin and metalloproteinase domain-containing protein 12 [EC:3.4.24.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K06835	_
LOC127933281	K09209	KLF10_11, TIEG; krueppel-like factor 10/11	http://www.genome.jp/dbget-bin/www_bget?ko:K09209	_
LOC127933282	K24483	FANK1; fibronectin type 3 and ankyrin repeat domains protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K24483	_
LOC127933284	K17608	STRN1_3_4; striatin 1/3/4	http://www.genome.jp/dbget-bin/www_bget?ko:K17608	ko04013
LOC127933285	K23574	COCH; cochlin	http://www.genome.jp/dbget-bin/www_bget?ko:K23574	_
LOC127933286	K04512	DAAM; dishevelled associated activator of morphogenesis	http://www.genome.jp/dbget-bin/www_bget?ko:K04512	ko04310
LOC127933288	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	http://www.genome.jp/dbget-bin/www_bget?ko:K17398	ko00270;ko01100;ko05206
LOC127933289	K12875	ACIN1, ACINUS; apoptotic chromatin condensation inducer in the nucleus	http://www.genome.jp/dbget-bin/www_bget?ko:K12875	ko03013;ko03015;ko03040
LOC127933290	K24246	EMILIN; emilin	http://www.genome.jp/dbget-bin/www_bget?ko:K24246	_
LOC127933291	K00846	KHK; ketohexokinase [EC:2.7.1.3]	http://www.genome.jp/dbget-bin/www_bget?ko:K00846	ko00051;ko01100;ko01120
LOC127933292	K24681	DISP2; protein dispatched 2	http://www.genome.jp/dbget-bin/www_bget?ko:K24681	_
LOC127933294	K00573	E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	http://www.genome.jp/dbget-bin/www_bget?ko:K00573	_
LOC127933295	K27410	coiled-coil domain-containing protein 32	http://www.genome.jp/dbget-bin/www_bget?ko:K27410	_
LOC127933301	K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04456	ko01521;ko01522;ko01524;ko04010;ko04012;ko04014;ko04015;ko04022;ko04024;ko04062;ko04066;ko04068;ko04071;ko04072;ko04140;ko04150;ko04151;ko04152;ko04210;ko04211;ko04212;ko04213;ko04218;ko04261;ko04370;ko04371;ko04380;ko04510;ko04550;ko04611;ko04613;ko04620;ko04625;ko04630;ko04660;ko04662;ko04664;ko04666;ko04668;ko04722;ko04725;ko04728;ko04810;ko04910;ko04914;ko04915;ko04917;ko04919;ko04920;ko04922;ko04923;ko04926;ko04929;ko04931;ko04932;ko04933;ko04935;ko04936;ko04973;ko05010;ko05017;ko05131;ko05132;ko05135;ko05142;ko05145;ko05152;ko05160;ko05161;ko05162;ko05163;ko05164;ko05165;ko05166;ko05167;ko05168;ko05169;ko05170;ko05200;ko05205;ko05207;ko05208;ko05210;ko05211;ko05212;ko05213;ko05214;ko05215;ko05218;ko05220;ko05221;ko05222;ko05223;ko05224;ko05225;ko05226;ko05230;ko05231;ko05235;ko05415;ko05417;ko05418
LOC127933302	K09278	RUNX2, AML3; runt-related transcription factor 2	http://www.genome.jp/dbget-bin/www_bget?ko:K09278	ko04928;ko05202
LOC127933305	K04714	SGMS; shingomyelin synthase [EC:2.7.8.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K04714	ko00600;ko01100;ko04071
LOC127933306	K10515	ZBTB44, BTBD15; zinc finger and BTB domain-containing protein 44	http://www.genome.jp/dbget-bin/www_bget?ko:K10515	_
LOC127933308	K27318	mitochondrial amidoxime-reducing component [EC:1.7.-.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K27318	_
LOC127933309	K27318	mitochondrial amidoxime-reducing component [EC:1.7.-.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K27318	_
LOC127933310	K01363	CTSB; cathepsin B [EC:3.4.22.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K01363	ko04140;ko04142;ko04210;ko04612;ko04621;ko04924
LOC127933311	K20364	MCFD2; multiple coagulation factor deficiency protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K20364	_
LOC127933312	K19871	SALL; sal-like protein	http://www.genome.jp/dbget-bin/www_bget?ko:K19871	_
LOC127933313	K24675	ZMYM2_3_4; zinc finger MYM-type protein 2/3/4	http://www.genome.jp/dbget-bin/www_bget?ko:K24675	_
LOC127933314	K07623	GJB4, CX30.3; gap junction beta-4 protein	http://www.genome.jp/dbget-bin/www_bget?ko:K07623	_
LOC127933315	K16449	RGS; regulator of G-protein signaling	http://www.genome.jp/dbget-bin/www_bget?ko:K16449	_
LOC127933316	K17338	REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4	http://www.genome.jp/dbget-bin/www_bget?ko:K17338	_
LOC127933317	K09407	FOXN; forkhead box protein N	http://www.genome.jp/dbget-bin/www_bget?ko:K09407	_
LOC127933319	K09220	IKZF, ZNFN1A; IKAROS family zinc finger protein	http://www.genome.jp/dbget-bin/www_bget?ko:K09220	_
LOC127933320	K24780	ZFYVE28, LST2; lateral signaling target protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K24780	_
LOC127933321	K23859	PLEKHG1_2_3; pleckstrin homology domain-containing family G member 1/2/3	http://www.genome.jp/dbget-bin/www_bget?ko:K23859	_
LOC127933323	K01110	PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN [EC:3.1.3.16 3.1.3.48 3.1.3.67]	http://www.genome.jp/dbget-bin/www_bget?ko:K01110	ko00562;ko01100;ko01521;ko04068;ko04070;ko04071;ko04115;ko04140;ko04150;ko04151;ko04212;ko04218;ko04361;ko04510;ko04931;ko05165;ko05166;ko05200;ko05206;ko05208;ko05213;ko05214;ko05215;ko05218;ko05222;ko05224;ko05225;ko05230;ko05235;ko05415
LOC127933324	K12460	KIDINS220, ARMS; ankyrin repeat-rich membrane spanning protein	http://www.genome.jp/dbget-bin/www_bget?ko:K12460	ko04722
LOC127933325	K17693	ID2; DNA-binding protein inhibitor ID2	http://www.genome.jp/dbget-bin/www_bget?ko:K17693	ko04350;ko04390;ko04550;ko05202
LOC127933326	K13809	CMPK2; UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14]	http://www.genome.jp/dbget-bin/www_bget?ko:K13809	ko00240;ko01100;ko01232;ko01240
LOC127933327	K15045	RSAD2; radical S-adenosyl methionine domain-containing protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K15045	ko05160;ko05164
LOC127933328	K17920	SNX5_6_32; sorting nexin-5/6/32	http://www.genome.jp/dbget-bin/www_bget?ko:K17920	ko04144
LOC127933330	K26384	SPTSS; serine palmitoyltransferase small subunit	http://www.genome.jp/dbget-bin/www_bget?ko:K26384	ko04071
LOC127933331	K07941	ARF6; ADP-ribosylation factor 6	http://www.genome.jp/dbget-bin/www_bget?ko:K07941	ko04014;ko04072;ko04144;ko04666;ko05130;ko05131;ko05132;ko05135
LOC127933332	K11450	KDM1A, AOF2, LSD1; [histone H3]-N6,N6-dimethyl-L-lysine4 FAD-dependent demethylase [EC:1.14.99.66]	http://www.genome.jp/dbget-bin/www_bget?ko:K11450	ko04714
LOC127933333	K20183	VPS39, VAM6; Vam6/Vps39-like protein vacuolar protein sorting-associated protein 39	http://www.genome.jp/dbget-bin/www_bget?ko:K20183	ko04138;ko05132
LOC127933334	K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K00140	ko00280;ko00410;ko00562;ko00640;ko01100;ko01200
LOC127933335	K24883	HOMEZ; homeobox and leucine zipper protein Homez	http://www.genome.jp/dbget-bin/www_bget?ko:K24883	_
LOC127933337	K23687	RIN2_3; Ras and Rab interactor 2/3	http://www.genome.jp/dbget-bin/www_bget?ko:K23687	_
LOC127933338	K09030	FOSL2; fos-like antigen 2	http://www.genome.jp/dbget-bin/www_bget?ko:K09030	ko04380
LOC127933339	K04406	MAP4K3, GLK; mitogen-activated protein kinase kinase kinase kinase 3 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04406	ko04010
LOC127933340	K07763	MMP14; matrix metalloproteinase-14 (membrane-inserted) [EC:3.4.24.80]	http://www.genome.jp/dbget-bin/www_bget?ko:K07763	ko04668;ko04912;ko04928
LOC127933343	K08132	COL12A; collagen type XII alpha	http://www.genome.jp/dbget-bin/www_bget?ko:K08132	ko04974
LOC127933344	K20102	YTHDF; YTH domain-containing family protein	http://www.genome.jp/dbget-bin/www_bget?ko:K20102	_
LOC127933346	K04445	RPS6KA5, MSK1; ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04445	ko04010;ko04261;ko04668;ko04713;ko04722;ko05131;ko05200;ko05206;ko05219
LOC127933347	K10476	KBTBD11; kelch repeat and BTB domain-containing protein 11	http://www.genome.jp/dbget-bin/www_bget?ko:K10476	_
LOC127933348	K13126	PABPC; polyadenylate-binding protein	http://www.genome.jp/dbget-bin/www_bget?ko:K13126	ko03015;ko03018
LOC127933350	K05024	CLIC4; chloride intracellular channel protein 4	http://www.genome.jp/dbget-bin/www_bget?ko:K05024	_
LOC127933355	K22371	G2H3; G2/M phase-specific E3 ubiquitin-protein ligase [EC:2.3.2.26]	http://www.genome.jp/dbget-bin/www_bget?ko:K22371	_
LOC127933356	K19998	SCFD1, SLY1; sec1 family domain-containing protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K19998	_
LOC127933358	K06091	MPP5, PALS1; MAGUK p55 subfamily member 5	http://www.genome.jp/dbget-bin/www_bget?ko:K06091	ko04390;ko04391;ko04530;ko05165
LOC127933360	K11163	DHRS1; dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K11163	_
LOC127933362	K11975	RNF144; E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]	http://www.genome.jp/dbget-bin/www_bget?ko:K11975	_
LOC127933363	K25163	WAPL; wings apart-like protein	http://www.genome.jp/dbget-bin/www_bget?ko:K25163	ko04110
LOC127933367	K11426	SMYD; [histone H3]-lysine4/36 N-trimethyltransferase SMYD [EC:2.1.1.354 2.1.1.357]	http://www.genome.jp/dbget-bin/www_bget?ko:K11426	ko00310;ko01100
LOC127933368	K25662	RNF212; E3 SUMO-protein ligase RNF212 [EC:2.3.2.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K25662	_
LOC127933370	K06831	LGALS3; galectin-3	http://www.genome.jp/dbget-bin/www_bget?ko:K06831	_
LOC127933371	K24235	CBLN; cerebellin	http://www.genome.jp/dbget-bin/www_bget?ko:K24235	_
LOC127933373	K00717	FUT8; glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]	http://www.genome.jp/dbget-bin/www_bget?ko:K00717	ko00510;ko00513;ko00533;ko01100;ko05202
LOC127933374	K22614	NLRC3, NOD3; NLR family CARD domain-containing protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K22614	_
LOC127933377	K22046	BCL11B; B-cell lymphoma/leukemia 11B	http://www.genome.jp/dbget-bin/www_bget?ko:K22046	ko05202
LOC127933380	K14546	UTP5, WDR43; U3 small nucleolar RNA-associated protein 5	http://www.genome.jp/dbget-bin/www_bget?ko:K14546	ko03008
LOC127933381	K07623	GJB4, CX30.3; gap junction beta-4 protein	http://www.genome.jp/dbget-bin/www_bget?ko:K07623	_
LOC127933383	K01176	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K01176	ko00500;ko01100;ko01110;ko04970;ko04972;ko04973
LOC127933384	K26216	AHSA1, AHA1; activator of Hsp90 ATPase protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K26216	_
LOC127933385	K21752	DRAP1, NC2-alpha; Dr1-associated corepressor	http://www.genome.jp/dbget-bin/www_bget?ko:K21752	_
LOC127933386	K11862	ZRANB1, TRABID; ubiquitin thioesterase ZRANB1 [EC:3.4.19.12]	http://www.genome.jp/dbget-bin/www_bget?ko:K11862	_
LOC127933387	K16528	AKAP12; A-kinase anchor protein 12	http://www.genome.jp/dbget-bin/www_bget?ko:K16528	_
LOC127933388	K10489	ZBTB2; zinc finger and BTB domain-containing protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K10489	_
LOC127933389	K23499	RMND1; required for meiotic nuclear division protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K23499	_
LOC127933390	K09680	PANK1_2_3, CAB1, coaW; type II pantothenate kinase [EC:2.7.1.33]	http://www.genome.jp/dbget-bin/www_bget?ko:K09680	ko00770;ko01100;ko01240
LOC127933391	K04390	TNFRSF6, FAS, CD95; tumor necrosis factor receptor superfamily member 6	http://www.genome.jp/dbget-bin/www_bget?ko:K04390	ko01524;ko04010;ko04060;ko04115;ko04210;ko04217;ko04650;ko04668;ko04932;ko04936;ko04940;ko05010;ko05022;ko05130;ko05142;ko05143;ko05160;ko05161;ko05162;ko05163;ko05164;ko05165;ko05167;ko05168;ko05169;ko05170;ko05200;ko05205;ko05320;ko05330;ko05332;ko05417
LOC127933392	K11829	RCOR1, COREST; REST corepressor 1	http://www.genome.jp/dbget-bin/www_bget?ko:K11829	ko05016
LOC127933393	K25208	ANKRD9; ankyrin repeat domain-containing protein 9	http://www.genome.jp/dbget-bin/www_bget?ko:K25208	_
LOC127933394	K24720	TULP4; tubby-related protein 4	http://www.genome.jp/dbget-bin/www_bget?ko:K24720	_
LOC127933399	K14006	SEC23; protein transport protein SEC23	http://www.genome.jp/dbget-bin/www_bget?ko:K14006	ko04141
LOC127933400	K13114	PNN; pinin	http://www.genome.jp/dbget-bin/www_bget?ko:K13114	ko03013;ko03015
LOC127933401	K16491	STARD9, KIF16A; StAR-related lipid transfer protein 9	http://www.genome.jp/dbget-bin/www_bget?ko:K16491	ko04814
LOC127933404	K00963	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	http://www.genome.jp/dbget-bin/www_bget?ko:K00963	ko00040;ko00052;ko00500;ko00520;ko00541;ko01100;ko01110;ko01240;ko01250
LOC127933405	K12391	AP1G1; AP-1 complex subunit gamma-1	http://www.genome.jp/dbget-bin/www_bget?ko:K12391	ko04142;ko05170
LOC127933407	K23796	PLEKHA1_2; pleckstrin homology domain-containing family A member 1/2	http://www.genome.jp/dbget-bin/www_bget?ko:K23796	_
